,Місяць,Картопля,Ковбасні вироби,Крупи,Мʼясо свійських тварин та птиці,Макарони,"Молоко пастеризоване жирністю до 2,6% включно",Молочні продукти,Овочі,Олія соняшникова,Риба,Сир,Хліб,Цукор,Яблука,Яйця,basket_price,first_diff_Картопля,first_diff_Ковбасні вироби,first_diff_Крупи,first_diff_Мʼясо свійських тварин та птиці,first_diff_Макарони,"first_diff_Молоко пастеризоване жирністю до 2,6% включно",first_diff_Молочні продукти,first_diff_Овочі,first_diff_Олія соняшникова,first_diff_Риба,first_diff_Сир,first_diff_Хліб,first_diff_Цукор,first_diff_Яблука,first_diff_Яйця,first_diff_basket_price,seasonal,trend,deseasonalized,detrended,salary,basket_salary_ratio,detrended_b_s_ratio
25,2021-02-01,11.87,94.4,22.46,106.71,21.22,25.83,55.32,6.74,47.55,83.05,114.18,22.45,23.13,19.76,32.26,1623.76,0.7299999999999986,1.1800000000000068,0.5899999999999999,2.6999999999999886,0.4299999999999997,0.41999999999999815,1.0200000000000031,0.9199999999999999,3.509999999999998,1.0900000000000034,0.2600000000000051,0.5599999999999987,1.2399999999999984,0.6800000000000033,-0.05000000000000426,41.289999999999964,-0.0007495489416069058,0.1353822251841594,0.13879761445271527,56.299999999999955,11762.28,0.13804806551110838,0.0009048540635640812
26,2021-03-01,12.17,94.99,23.34,110.2,22.88,25.96,55.97,7.17,52.58,83.07,115.73,23.16,24.38,20.39,32.02,1664.66,0.3000000000000007,0.5899999999999892,0.879999999999999,3.490000000000009,1.6600000000000001,0.13000000000000256,0.6499999999999986,0.4299999999999997,5.030000000000001,0.01999999999999602,1.5499999999999972,0.7100000000000009,1.25,0.629999999999999,-0.23999999999999488,40.90000000000009,0.0013583914154895746,0.1342292744495178,0.13343221941190517,36.52999999999997,12349.97,0.13479061082739474,-0.0053653950408101
27,2021-04-01,11.92,95.5,23.77,111.82,23.25,25.99,56.53,7.11,58.05,82.36,116.95,23.4,25.63,20.66,31.8,1682.32,-0.25,0.5100000000000051,0.4299999999999997,1.6199999999999903,0.370000000000001,0.029999999999997584,0.5600000000000023,-0.05999999999999961,5.469999999999999,-0.7099999999999937,1.2199999999999989,0.23999999999999844,1.25,0.2699999999999996,-0.22000000000000242,17.659999999999854,0.008929264435352028,0.13334855910682972,0.12499645675121751,-25.980000000000018,12561.59,0.13392572118656954,-0.008435762660687657
28,2021-05-01,11.96,96.96,23.87,113.78,23.11,26.44,57.24,9.93,62.57,83.34,116.52,23.62,25.75,20.94,26.24,1702.47,0.040000000000000924,1.4599999999999937,0.10000000000000142,1.960000000000008,-0.14000000000000057,0.45000000000000284,0.7100000000000009,2.8199999999999994,4.520000000000003,0.980000000000004,-0.4300000000000068,0.22000000000000242,0.120000000000001,0.28000000000000114,-5.560000000000002,20.15000000000009,0.006805030139729461,0.13273782881606758,0.12766479398406866,4.3900000000001,12660.61,0.13446982412379813,0.002668337232851148
29,2021-06-01,13.3,96.78,23.8,114.22,23.15,26.42,57.48,12.91,64.95,84.27,116.61,23.66,25.92,21.14,22.09,1719.77,1.3399999999999999,-0.1799999999999926,-0.07000000000000028,0.4399999999999977,0.03999999999999915,-0.019999999999999574,0.23999999999999488,2.9800000000000004,2.3800000000000026,0.9299999999999926,0.09000000000000341,0.03999999999999915,0.1700000000000017,0.1999999999999993,-4.149999999999999,17.299999999999955,-0.00883648679206623,0.13247422218972563,0.13007477727274164,-9.1400000000001,14185.04,0.1212382904806754,0.002409983288672979
30,2021-07-01,11.79,98.1,23.83,115.54,23.19,26.5,58.19,12.9,64.73,84.06,117.04,23.77,27.63,21.42,22.13,1719.43,-1.5100000000000016,1.3199999999999932,0.029999999999997584,1.3200000000000074,0.0400000000000027,0.0799999999999983,0.7100000000000009,-0.009999999999999787,-0.21999999999999886,-0.20999999999999375,0.4300000000000068,0.10999999999999943,1.7099999999999973,0.28000000000000114,0.03999999999999915,-0.33999999999991815,0.00560724724643491,0.1326681637824567,0.1275592629751595,30.49000000000001,12911.88,0.1331665102215944,-0.00251551429758215
31,2021-08-01,8.66,97.94,23.73,117.11,23.19,26.62,58.89,9.2,64.33,84.87,117.22,23.9,28.7,20.13,26.29,1697.11,-3.129999999999999,-0.1599999999999966,-0.09999999999999787,1.5699999999999932,0.0,0.120000000000001,0.7000000000000028,-3.700000000000001,-0.4000000000000057,0.8100000000000023,0.1799999999999926,0.129999999999999,1.0700000000000003,-1.2900000000000027,4.16,-22.320000000000164,0.008744263243786883,0.13340959203409178,0.12814572047889536,18.019999999999982,12397.62,0.13688998372268224,0.000586457503735871
32,2021-09-01,8.32,99.77,23.89,120.75,23.15,27.2,59.98,8.25,63.71,85.78,119.18,24.33,28.69,17.67,29.98,1721.39,-0.33999999999999986,1.8299999999999983,0.16000000000000014,3.6400000000000006,-0.0400000000000027,0.5799999999999983,1.0899999999999963,-0.9499999999999993,-0.6199999999999974,0.9099999999999966,1.960000000000008,0.4299999999999997,-0.00999999999999801,-2.4599999999999973,3.6900000000000013,24.2800000000002,-0.0013788951745366926,0.13475640510316106,0.13282465420299006,39.04000000000019,13095.82,0.13144575902845337,0.004678933724094697
33,2021-10-01,8.69,102.9,24.23,122.5,23.3,27.63,61.04,8.8,62.69,86.25,120.22,24.98,27.8,14.84,30.3,1742.84,0.3699999999999992,3.1300000000000097,0.33999999999999986,1.75,0.15000000000000213,0.4299999999999997,1.0600000000000023,0.5500000000000007,-1.0200000000000031,0.46999999999999886,1.039999999999992,0.6500000000000021,-0.8900000000000006,-2.830000000000002,0.3200000000000003,21.449999999999818,-0.0003928074520775679,0.13670035608690634,0.13207379438703645,5.3299999999997,13235.32,0.1316809869349589,-0.0007508598159536028
34,2021-11-01,8.61,106.26,25.16,122.91,23.89,27.96,62.18,9.66,62.32,87.49,124.25,25.61,28.2,13.09,30.63,1770.19,-0.08000000000000007,3.3599999999999994,0.9299999999999997,0.4099999999999966,0.5899999999999999,0.33000000000000185,1.1400000000000006,0.8599999999999994,-0.36999999999999744,1.2399999999999949,4.030000000000001,0.629999999999999,0.3999999999999986,-1.75,0.3299999999999983,27.350000000000136,0.00015619064806441957,0.13918065677331673,0.13216191577659822,8.370000000000118,13378.29,0.13231810642466263,8.812138956176829e-05
